"","M","V","TI"
"1","Rpart","0.6134793","Singola stratificazione ('section')"
"2","Rpart","0.6532038","Doppia stratificazione"
"3","Rpart","0.8564617","Accuratezza depurata"
"4","RF","0.7292627","Singola stratificazione ('section')"
"5","RF","0.7741296","Doppia stratificazione"
"6","RF","0.9235851","Accuratezza depurata"
"7","C.05","0.7290707","Singola stratificazione ('section')"
"8","C.05","0.7772938","Doppia stratificazione"
"9","C.05","0.9211711","Accuratezza depurata"
"10","SVM","0.7300307","Singola stratificazione ('section')"
"11","SVM","0.7614315","Doppia stratificazione"
"12","SVM","0.9237299","Accuratezza depurata"
"13","LogitBoost","0.7694287","Singola stratificazione ('section')"
"14","LogitBoost","0.8116422","Doppia stratificazione"
"15","LogitBoost","0.9287011","Accuratezza depurata"
