"","section","publication","category","title","content"
"1","law & politics","Talking Points Memo","general","law & politics","law & politics"
"2","news","Washington Post","newspaper","news","news"
"3","law & politics","National Review","","entertainment","law & politics"
"4","news","New York Post","","news","news"
"5","health & lifestyle","NPR","radio","health & lifestyle","news"
"6","news","New York Post","","health & lifestyle","news"
"7","law & politics","National Review","","news","law & politics"
"8","news","New York Post","","news","news"
"9","economy, business & jobs","Guardian","newspaper","news","news"
"10","news","Washington Post","newspaper","news","news"
"11","news","Guardian","newspaper","law & politics","law & politics"
"12","food","NPR","radio","news","news"
"13","law & politics","Talking Points Memo","general","law & politics","law & politics"
"14","news","New York Post","","news","news"
"15","law & politics","National Review","","law & politics","law & politics"
"16","law & politics","National Review","","news","law & politics"
"17","law & politics","National Review","","news","news"
"18","art & fashion","Guardian","newspaper","entertainment","entertainment"
"19","sports","Guardian","newspaper","sports","sports"
"20","news","New York Post","","news","news"
"21","law & politics","NPR","radio","law & politics","news"
"22","news","Guardian","newspaper","news","law & politics"
"23","law & politics","Talking Points Memo","general","law & politics","law & politics"
"24","law & politics","Talking Points Memo","general","news","news"
"25","news","New York Post","","news","news"
"26","sports","NPR","radio","sports","sports"
"27","law & politics","National Review","","health & lifestyle","law & politics"
"28","law & politics","Washington Post","newspaper","news","news"
"29","news","NPR","radio","news","news"
"30","news","Guardian","newspaper","news","news"
"31","law & politics","National Review","","law & politics","university & school"
"32","books","Guardian","newspaper","news","news"
"33","news","New York Post","","news","law & politics"
"34","law & politics","Talking Points Memo","general","law & politics","news"
"35","news","New York Post","","news","news"
"36","news","New York Post","","news","news"
"37","law & politics","Washington Post","newspaper","law & politics","law & politics"
"38","news","New York Post","","news","news"
"39","news","New York Post","","news","news"
"40","news","Washington Post","newspaper","news","news"
"41","news","Washington Post","newspaper","news","news"
"42","law & politics","Washington Post","newspaper","news","news"
"43","news","Talking Points Memo","general","law & politics","news"
"44","news","New York Post","","news","law & politics"
"45","news","New York Post","","news","news"
"46","law & politics","Talking Points Memo","general","news","news"
"47","economy, business & jobs","Guardian","newspaper","news","news"
"48","sports","Guardian","newspaper","news","news"
"49","news","NPR","radio","news","news"
"50","news","New York Post","","health & lifestyle","news"
"51","law & politics","Talking Points Memo","general","law & politics","law & politics"
"52","law & politics","National Review","","news","law & politics"
"53","health & lifestyle","Washington Post","newspaper","news","news"
"54","news","New York Post","","news","news"
"55","news","Washington Post","newspaper","news","law & politics"
"56","news","New York Post","","news","news"
"57","law & politics","National Review","","news","law & politics"
"58","news","Washington Post","newspaper","news","news"
"59","news","Washington Post","newspaper","news","news"
"60","law & politics","National Review","","law & politics","law & politics"
"61","news","NPR","radio","news","news"
"62","economy, business & jobs","Washington Post","newspaper","news","news"
"63","news","New York Post","","news","news"
"64","law & politics","Talking Points Memo","general","law & politics","law & politics"
"65","news","Washington Post","newspaper","news","law & politics"
"66","law & politics","NPR","radio","news","news"
"67","news","Washington Post","newspaper","news","news"
"68","news","Washington Post","newspaper","news","news"
"69","news","Guardian","newspaper","news","news"
"70","law & politics","Talking Points Memo","general","news","law & politics"
"71","news","Washington Post","newspaper","news","news"
"72","law & politics","National Review","","news","news"
"73","health & lifestyle","NPR","radio","news","news"
"74","news","Fox News","broadcast","news","news"
"75","health & lifestyle","NPR","radio","health & lifestyle","law & politics"
"76","news","New York Post","","news","news"
"77","news","Washington Post","newspaper","news","news"
"78","sports","Guardian","newspaper","news","news"
"79","news","New York Post","","news","news"
"80","news","Washington Post","newspaper","news","news"
"81","news","New York Post","","sports","sports"
"82","news","Guardian","newspaper","news","news"
"83","news","New York Post","","news","news"
"84","news","Guardian","newspaper","news","news"
"85","news","New York Post","","news","law & politics"
"86","law & politics","Washington Post","newspaper","law & politics","news"
"87","news","Washington Post","newspaper","news","news"
"88","entertainment","Guardian","newspaper","news","news"
"89","law & politics","Talking Points Memo","general","news","news"
"90","law & politics","Talking Points Memo","general","law & politics","law & politics"
"91","law & politics","National Review","","news","law & politics"
"92","news","Washington Post","newspaper","news","law & politics"
"93","news","Guardian","newspaper","news","law & politics"
"94","news","Washington Post","newspaper","news","news"
"95","news","New York Post","","news","news"
"96","news","Washington Post","newspaper","news","law & politics"
"97","economy, business & jobs","Guardian","newspaper","news","news"
"98","law & politics","National Review","","health & lifestyle","news"
"99","health & lifestyle","Guardian","newspaper","news","news"
"100","news","New York Post","","news","news"
"101","news","Washington Post","newspaper","news","health & lifestyle"
"102","law & politics","National Review","","law & politics","news"
"103","news","Washington Post","newspaper","news","news"
"104","news","Washington Post","newspaper","news","news"
"105","news","Washington Post","newspaper","news","news"
"106","news","New York Post","","news","news"
"107","news","Guardian","newspaper","news","law & politics"
"108","news","Washington Post","newspaper","news","news"
"109","news","Washington Post","newspaper","news","news"
"110","news","Guardian","newspaper","news","news"
"111","science & tech","NPR","radio","news","news"
"112","culture","Guardian","newspaper","news","law & politics"
"113","law & politics","Talking Points Memo","general","entertainment","law & politics"
"114","news","NPR","radio","news","news"
"115","health & lifestyle","NPR","radio","health & lifestyle","news"
"116","news","New York Post","","news","news"
"117","news","Guardian","newspaper","news","news"
"118","news","Guardian","newspaper","news","news"
"119","news","Fox News","broadcast","news","news"
"120","law & politics","Talking Points Memo","general","law & politics","law & politics"
"121","news","NPR","radio","news","news"
"122","law & politics","Guardian","newspaper","law & politics","law & politics"
"123","news","New York Post","","news","news"
"124","law & politics","National Review","","law & politics","law & politics"
"125","news","New York Post","","news","news"
"126","news","New York Post","","news","entertainment"
"127","university & school","NPR","radio","news","news"
"128","law & politics","Washington Post","newspaper","law & politics","law & politics"
"129","law & politics","Washington Post","newspaper","news","law & politics"
"130","law & politics","Washington Post","newspaper","law & politics","law & politics"
"131","food","NPR","radio","news","news"
"132","news","Guardian","newspaper","news","news"
"133","law & politics","Washington Post","newspaper","law & politics","law & politics"
"134","health & lifestyle","Guardian","newspaper","news","news"
"135","news","Guardian","newspaper","news","news"
"136","news","New York Post","","news","news"
"137","law & politics","Talking Points Memo","general","law & politics","law & politics"
"138","law & politics","National Review","","law & politics","law & politics"
"139","law & politics","Talking Points Memo","general","law & politics","news"
"140","law & politics","Talking Points Memo","general","law & politics","law & politics"
"141","law & politics","Talking Points Memo","general","news","law & politics"
"142","law & politics","National Review","","law & politics","news"
"143","law & politics","Washington Post","newspaper","news","law & politics"
"144","news","New York Post","","law & politics","law & politics"
"145","law & politics","Talking Points Memo","general","LGBT","law & politics"
"146","law & politics","Talking Points Memo","general","law & politics","law & politics"
"147","news","New York Post","","news","law & politics"
"148","law & politics","Talking Points Memo","general","law & politics","law & politics"
"149","news","New York Post","","news","news"
"150","news","New York Post","","entertainment","news"
"151","news","NPR","radio","news","law & politics"
"152","news","New York Post","","news","news"
"153","news","NPR","radio","news","news"
"154","law & politics","Fox News","broadcast","law & politics","law & politics"
"155","news","New York Post","","news","news"
"156","news","Guardian","newspaper","law & politics","news"
"157","health & lifestyle","NPR","radio","health & lifestyle","news"
"158","news","New York Post","","news","news"
"159","law & politics","National Review","","law & politics","news"
"160","news","New York Post","","news","news"
"161","sports","Guardian","newspaper","news","news"
"162","news","Guardian","newspaper","news","news"
"163","news","New York Post","","entertainment","news"
"164","law & politics","Washington Post","newspaper","news","law & politics"
"165","news","NPR","radio","news","news"
"166","entertainment","Guardian","newspaper","news","news"
"167","law & politics","National Review","","news","news"
"168","news","NPR","radio","law & politics","news"
"169","news","New York Post","","news","news"
"170","news","New York Post","","news","news"
"171","news","Guardian","newspaper","law & politics","law & politics"
"172","news","New York Post","","news","news"
"173","law & politics","Fox News","broadcast","law & politics","law & politics"
"174","law & politics","National Review","","law & politics","law & politics"
"175","law & politics","Washington Post","newspaper","law & politics","law & politics"
"176","news","New York Post","","news","news"
"177","health & lifestyle","NPR","radio","news","law & politics"
"178","science & tech","Guardian","newspaper","news","news"
"179","news","New York Post","","news","news"
"180","law & politics","National Review","","law & politics","law & politics"
"181","law & politics","Talking Points Memo","general","law & politics","news"
"182","law & politics","Washington Post","newspaper","law & politics","news"
"183","news","NPR","radio","news","news"
"184","news","New York Post","","news","news"
"185","law & politics","NPR","radio","news","health & lifestyle"
"186","news","New York Post","","news","news"
"187","news","New York Post","","news","news"
"188","news","NPR","radio","news","law & politics"
"189","news","Washington Post","newspaper","news","news"
"190","news","New York Post","","news","news"
"191","news","Washington Post","newspaper","news","news"
"192","food","NPR","radio","law & politics","news"
"193","law & politics","Washington Post","newspaper","law & politics","news"
"194","news","New York Post","","news","news"
"195","news","NPR","radio","news","law & politics"
"196","news","New York Post","","news","news"
"197","news","New York Post","","news","news"
"198","law & politics","Guardian","newspaper","news","news"
"199","news","New York Post","","sports","news"
"200","news","New York Post","","news","news"
"201","law & politics","National Review","","law & politics","law & politics"
"202","law & politics","National Review","","law & politics","law & politics"
"203","entertainment","Guardian","newspaper","news","news"
"204","culture","Guardian","newspaper","news","news"
"205","news","Washington Post","newspaper","news","news"
"206","law & politics","Washington Post","newspaper","news","law & politics"
"207","law & politics","National Review","","news","law & politics"
"208","news","New York Post","","news","news"
"209","news","NPR","radio","news","news"
"210","news","New York Post","","news","news"
"211","art & fashion","Guardian","newspaper","news","news"
"212","health & lifestyle","NPR","radio","news","news"
"213","law & politics","Washington Post","newspaper","news","law & politics"
"214","news","New York Post","","news","news"
"215","news","New York Post","","news","news"
"216","law & politics","Washington Post","newspaper","news","law & politics"
"217","law & politics","Washington Post","newspaper","news","law & politics"
"218","law & politics","Fox News","broadcast","news","law & politics"
"219","law & politics","Talking Points Memo","general","law & politics","law & politics"
"220","news","Talking Points Memo","general","news","news"
"221","law & politics","Talking Points Memo","general","news","news"
"222","news","Buzzfeed News","general","news","news"
"223","entertainment","Guardian","newspaper","news","news"
"224","news","Washington Post","newspaper","news","law & politics"
"225","law & politics","NPR","radio","entertainment","news"
"226","news","New York Post","","news","news"
"227","law & politics","Talking Points Memo","general","law & politics","law & politics"
"228","news","Guardian","newspaper","news","law & politics"
"229","news","New York Post","","news","news"
"230","law & politics","Washington Post","newspaper","law & politics","law & politics"
"231","books","Guardian","newspaper","news","news"
"232","news","New York Post","","news","news"
"233","news","Washington Post","newspaper","news","news"
"234","science & tech","Guardian","newspaper","news","news"
"235","law & politics","National Review","","news","law & politics"
"236","news","New York Post","","news","news"
"237","news","New York Post","","law & politics","news"
"238","law & politics","Talking Points Memo","general","science & tech","law & politics"
"239","news","Washington Post","newspaper","news","news"
"240","law & politics","National Review","","news","news"
"241","news","New York Post","","news","news"
"242","sports","Guardian","newspaper","news","news"
"243","news","NPR","radio","news","news"
"244","law & politics","Washington Post","newspaper","law & politics","law & politics"
"245","news","New York Post","","news","news"
"246","news","New York Post","","law & politics","news"
"247","news","New York Post","","news","news"
"248","law & politics","Talking Points Memo","general","news","law & politics"
"249","law & politics","Talking Points Memo","general","law & politics","law & politics"
"250","news","Guardian","newspaper","news","news"
"251","news","Washington Post","newspaper","law & politics","news"
"252","entertainment","NPR","radio","law & politics","news"
"253","law & politics","Washington Post","newspaper","law & politics","law & politics"
"254","news","Washington Post","newspaper","health & lifestyle","news"
"255","news","Washington Post","newspaper","news","law & politics"
"256","law & politics","National Review","","law & politics","law & politics"
"257","law & politics","Washington Post","newspaper","news","law & politics"
"258","law & politics","Fox News","broadcast","law & politics","law & politics"
"259","food","NPR","radio","news","news"
"260","health & lifestyle","Guardian","newspaper","news","law & politics"
"261","economy, business & jobs","Guardian","newspaper","news","law & politics"
