"","section","publication","category","title","content"
"1","law & politics","National Review",NA,"law & politics","law & politics"
"2","economy, business & jobs","Guardian","newspaper","news","economy, business & jobs"
"3","news","Washington Post","newspaper","law & politics","law & politics"
"4","law & politics","Guardian","newspaper","law & politics","law & politics"
"5","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"6","news","New York Post",NA,"news","news"
"7","news","New York Post",NA,"news","news"
"8","news","Washington Post","newspaper","news","news"
"9","entertainment","Guardian","newspaper","news","entertainment"
"10","news","NPR","radio","news","news"
"11","law & politics","Guardian","newspaper","law & politics","law & politics"
"12","food","NPR","radio","news","news"
"13","news","Washington Post","newspaper","news","news"
"14","law & politics","National Review",NA,"news","law & politics"
"15","news","New York Post",NA,"news","news"
"16","news","Guardian","newspaper","law & politics","law & politics"
"17","entertainment","Guardian","newspaper","entertainment","entertainment"
"18","news","Guardian","newspaper","news","law & politics"
"19","law & politics","Washington Post","newspaper","law & politics","law & politics"
"20","news","New York Post",NA,"news","news"
"21","news","New York Post",NA,"news","news"
"22","news","New York Post",NA,"news","news"
"23","news","Guardian","newspaper","news","news"
"24","food","NPR","radio","news","news"
"25","news","Talking Points Memo","general","news","news"
"26","law & politics","Fox News","broadcast","law & politics","law & politics"
"27","news","New York Post",NA,"news","news"
"28","law & politics","National Review",NA,"law & politics","law & politics"
"29","sports","Guardian","newspaper","news","law & politics"
"30","entertainment","Guardian","newspaper","law & politics","entertainment"
"31","news","New York Post",NA,"news","news"
"32","news","Guardian","newspaper","news","news"
"33","news","New York Post",NA,"news","news"
"34","health & lifestyle","Guardian","newspaper","health & lifestyle","health & lifestyle"
"35","sports","Guardian","newspaper","news","sports"
"36","news","New York Post",NA,"law & politics","news"
"37","news","New York Post",NA,"news","law & politics"
"38","news","New York Post",NA,"news","news"
"39","news","New York Post",NA,"news","news"
"40","law & politics","Talking Points Memo","general","law & politics","law & politics"
"41","news","Washington Post","newspaper","news","news"
"42","news","Talking Points Memo","general","news","law & politics"
"43","food","NPR","radio","news","news"
"44","news","Guardian","newspaper","news","news"
"45","law & politics","Talking Points Memo","general","law & politics","law & politics"
"46","law & politics","Washington Post","newspaper","law & politics","law & politics"
"47","news","Washington Post","newspaper","news","news"
"48","news","New York Post",NA,"news","news"
"49","news","New York Post",NA,"news","news"
"50","law & politics","National Review",NA,"news","law & politics"
"51","news","Washington Post","newspaper","news","news"
"52","news","New York Post",NA,"news","news"
"53","law & politics","National Review",NA,"law & politics","law & politics"
"54","news","Washington Post","newspaper","news","law & politics"
"55","law & politics","Talking Points Memo","general","law & politics","law & politics"
"56","law & politics","Talking Points Memo","general","law & politics","law & politics"
"57","law & politics","National Review",NA,"law & politics","law & politics"
"58","news","Guardian","newspaper","news","news"
"59","law & politics","National Review",NA,"law & politics","law & politics"
"60","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"61","news","New York Post",NA,"news","news"
"62","news","New York Post",NA,"news","news"
"63","news","Guardian","newspaper","news","news"
"64","entertainment","NPR","radio","entertainment","news"
"65","entertainment","NPR","radio","news","law & politics"
